leaveal01,Allen Leavell,1980-1989,0,,,,,11187
murphal01,Allen Murphy,1976-1977,0,,,,,182
mcguial02,Allie McGuire,1974,0,,,,,7
trieral01,Allonzo Trier,2019-2020,1,,,,,1223
willial06,Alondes Williams,-,0,,,,,0
bradlal01,Alonzo Bradley,1978-1980,0,,,,,665
geeal01,Alonzo Gee,2010-2017,0,,,,,4555
lewisal01,Alonzo Lewis,-,0,,,,,0
mournal01,Alonzo Mourning,1993-2008,0,,,,,22394
weathal01,Alonzo Weatherly,-,0,,,,,0
sengual01,Alperen Şengün,2022,1,,,,,1270
kabaal01,Alpha Kaba,-,0,,,,,0
fordal01,Alphonso Ford,1994-1995,0,,,,,65
byrdal01,Alton Byrd,-,0,,,,,0
fordal02,Alton Ford,2002-2004,0,,,,,321
gipsoal01,Alton Lee Gipson,-,0,,,,,0
listeal01,Alton Lister,1982-1998,0,,,,,13208
adamsal01,Alvan Adams,1976-1988,0,,,,,24859
teheral01,Alvaro Teheran,-,0,,,,,0
brookal01,Alvin Brooks,-,0,,,,,0
heggsal01,Alvin Heggs,1996,0,,,,,10
jonesal01,Alvin Jones,2002,0,,,,,65
josepal01,Alvin Joseph,-,0,,,,,0
roberal01,Alvin Robertson,1985-1996,0,,,,,18877
scottal01,Alvin Scott,1978-1985,0,,,,,5927
simsal01,Alvin Sims,1999,0,,,,,20
willial02,Alvin Williams,1998-2007,0,,,,,7178
mccasam01,Amal McCaskill,1997-2004,0,,,,,453
stoudam01,Amar'e Stoudemire,2003-2016,0,,,,,23676
mbayeam01,Amath M'Baye,-,0,,,,,0
brimaam01,Amida Brimah,2021,1,,,,,22
jeffeam01,Amile Jefferson,2019-2020,0,,,,,93
coffeam01,Amir Coffey,2020-2022,1,,,,,1234
hintoam01,Amir Hinton,-,0,,,,,0
johnsam01,Amir Johnson,2006-2019,1,,,,,11867
thomaam01,Amos Thomas,-,0,,,,,0
varejan01,Anderson Varejão,2005-2021,1,,,,,9842
pattean01,Andrae Patterson,1999-2000,0,,,,,203
blatcan01,Andray Blatche,2006-2014,0,,,,,9528
banksan01,Andre Banks,-,0,,,,,0
barrean01,Andre Barrett,2005-2008,0,,,,,425
brownan01,Andre Brown,2007-2009,0,,,,,386
dawkian01,Andre Dawkins,2015,0,,,,,6
drumman01,Andre Drummond,2013-2022,1,,,,,20460
emmetan01,Andre Emmett,2005-2012,0,,,,,29
gaddyan01,Andre Gaddy,-,0,,,,,0
hamptan01,Andre Hampton,-,0,,,,,0
hutsoan01,Andre Hutson,-,0,,,,,0
iguodan01,Andre Iguodala,2005-2022,1,,,,,25109
ingraan01,Andre Ingram,2018-2019,1,,,,,39
mccaran01,Andre McCarter,1977-1981,0,,,,,659
millean02,Andre Miller,2000-2016,0,,,,,29597
moorean01,Andre Moore,1988,0,,,,,44
owensan01,Andre Owens,2006-2008,0,,,,,315
roberan03,Andre Roberson,2014-2021,1,,,,,2877
spencan01,Andre Spencer,1993-1994,0,,,,,546
turnean01,Andre Turner,1987-1992,0,,,,,1565
wakefan01,Andre Wakefield,1979-1980,0,,,,,340
bargnan01,Andrea Bargnani,2007-2016,0,,,,,11067
glynian01,Andreas Glyniadakis,2007,0,,,,,26
fetisan01,Andrei Fetisov,-,0,,,,,0
kirilan01,Andrei Kirilenko,2002-2015,0,,,,,15952
milutan01,Andreja Milutinović,-,0,,,,,0
guibean01,Andrés Guibert,1994-1995,0,,,,,133
nocioan01,Andrés Nocioni,2005-2012,0,,,,,8324
anderan01,Andrew Anderson,1968-1970,0,,,,,2935
andrean01,Andrew Andrews,-,0,,,,,0
bettsan01,Andrew Betts,-,0,,,,,0
bogutan01,Andrew Bogut,2006-2019,0,,,,,14466
bynuman01,Andrew Bynum,2006-2014,0,,,,,8533
declean01,Andrew DeClercq,1996-2005,0,,,,,5642
fieldan01,Andrew Fields,-,0,,,,,0
gazean01,Andrew Gaze,1994-1999,0,,,,,66
goudean01,Andrew Goudelock,2012-2016,0,,,,,255
harrian01,Andrew Harrison,2017-2019,1,,,,,1698
kennean01,Andrew Kennedy,-,0,,,,,0
langan01,Andrew Lang,1989-2000,0,,,,,8366
lawrean01,Andrew Lawrence,-,0,,,,,0
levanan01,Andrew Levane,1949-1953,0,,,,,676
nembhan01,Andrew Nembhard,-,0,,,,,0
nichoan01,Andrew Nicholson,2013-2017,0,,,,,2683
parkean02,Andrew Parker,-,0,,,,,0
pettean01,Andrew Pettes,-,0,,,,,0
smithan01,Andrew Smith,-,0,,,,,0
toneyan01,Andrew Toney,1981-1988,0,,,,,10432
whitean01,Andrew White,2018,0,,,,,109
wiggian01,Andrew Wiggins,2015-2022,1,,,,,15561
biedran01,Andris Biedriņš,2005-2014,0,,,,,7345
duncaan01,Andy Duncan,1949-1951,0,,,,,877
jennian01,Andy Jennings,-,0,,,,,0
johnsan01,Andy Johnson,1959-1962,0,,,,,4712
kostean01,Andy Kostecka,1949,0,,,,,149
mcgowan01,Andy McGowan,-,0,,,,,0
odonnan01,Andy O'Donnell,1950,0,,,,,107
owensan02,Andy Owens,-,0,,,,,0
pankoan01,Andy Panko,2001,0,,,,,0
phillan01,Andy Phillip,1948-1958,0,,,,,12538
rautian01,Andy Rautins,2011,0,,,,,12
tonkoan01,Andy Tonkovich,1949,0,,,,,54
toolsan01,Andy Toolson,1991-1996,0,,,,,264
walkean01,Andy Walker,1977,0,,,,,287
wolfean01,Andy Wolfe,-,0,,,,,0
hardaan01,Anfernee Hardaway,1994-2008,0,,,,,17355
simonan01,Anfernee Simons,2019-2022,1,,,,,3020
delgaan01,Ángel Delgado,2019,1,,,,,7
rodrian01,Ángel Rodríguez,-,0,,,,,0
musian01,Angelo Musi,1947-1949,0,,,,,1476
sharpan01,Angelo Sharpless,-,0,,,,,0
lavodan01,Anicet Lavodrama,-,0,,,,,0
truitan01,Ansley Truitt,1973,0,,,,,79
sesayan01,Ansu Sesay,2002-2005,0,,,,,686
jamisan01,Antawn Jamison,1999-2014,0,,,,,29960
tomican01,Ante Tomić,-,0,,,,,0
zizican01,Ante Žižić,2018-2020,1,,,,,1184
aventan01,Anthony Avent,1993-2000,0,,,,,3820
bennean01,Anthony Bennett,2014-2017,0,,,,,1207
bonnean01,Anthony Bonner,1991-1996,0,,,,,4367
bowiean01,Anthony Bowie,1989-1998,0,,,,,4806
brownan02,Anthony Brown,2016-2018,0,,,,,292
cartean01,Anthony Carter,2000-2012,0,,,,,6674
cookan01,Anthony Cook,1991-1996,0,,,,,880
cowanan01,Anthony Cowan Jr.,-,0,,,,,0
davisan02,Anthony Davis,2013-2022,1,,,,,21967
edwaran01,Anthony Edwards,2021-2022,1,,,,,4090
fredean01,Anthony Frederick,1989-1992,0,,,,,1133
